outcome,n_glp1,n_no_glp1,median_glp1,median_no_glp1,delta_median,mannwhitney_u,p_value_raw,family,q_value,q_lt_0_05
HbA1c,141,107,-0.8735272789474173,-0.48885660576250434,-0.384670673184913,3355.0,7.150609271733143e-14,nonparam_sensitivity,1.4301218543466286e-13,True
LDL,144,108,-26.407981852792112,-27.150933125437398,0.7429512726452856,7542.0,0.6834364376835178,nonparam_sensitivity,0.6834364376835178,False
